grain_id,phi1_deg,Phi_deg,phi2_deg,x,y,true_parent_id
1,267.64624025601796,34.207079549880554,328.1380833488687,0.0,0.0,1
2,36.48570045127813,66.71626436827738,211.24656424064813,1.0,0.0,1
3,225.39304572478866,116.19815109688686,351.75303699492173,2.0,0.0,1
4,74.59983335583655,150.99126646478229,219.999085814752,3.0,0.0,1
5,150.66824333374373,112.52591410753821,210.40913715154826,0.0,1.0,1
6,99.07814748629757,86.83314481643284,127.81339713396564,1.0,1.0,1
7,184.37108982016653,66.13114710303569,283.36284429270887,2.0,1.0,1
8,119.92820882672311,32.44311409723856,42.66487773405159,3.0,1.0,1
9,147.0750744089455,95.91391500559061,28.192369640987557,6.0,0.0,2
10,80.91751640372239,15.32407689904802,70.88828880119962,7.0,0.0,2
11,250.07697167622257,156.6359836914677,118.55528170893139,8.0,0.0,2
12,318.8643596020785,81.34264943718969,172.13389896284014,9.0,0.0,2
13,7.6627550151311805,125.83710940935472,117.88613789810225,6.0,1.0,2
14,27.15742628897313,72.17484836175869,48.23997308393986,7.0,1.0,2
15,85.59737003762304,139.33120267952668,248.91307541022752,8.0,1.0,2
16,84.79759299291034,82.65425016163779,321.62735334337026,9.0,1.0,2
